"name","volume","margulis constant","left geod","right geod","ortho length"
"s741(-1,3)",4.116968736386066724912101479,1.062260627308182,(0.805982456060322-2.259666219452538j),(0.946807968969036-2.955438637976045j),(0.598883155375613+1.708411284161972j)
"v2334(-1,2)",4.116968736386066724912101479,1.1089289122203736,(1.092952128774603+2.039846968018459j),(1.092952128774592+2.039846968018499j),(0.200856055991243+1.447187053625714j)
"s777(-4,1)",4.116968736386066724912101479,1.1596107493696186,(0.829913048960679+0.988898644204334j),(1.128383964966303+2.356194490192346j),(0.778037298835429-2.610337502121364j)
"s490(-4,1)",4.116968736386066724912101479,1.0882888559684716,(0.473403984484533+1.477719318988027j),(0.94680796896907+2.95543863797604j),(0.934005810764002-2.082438491278102j)
"v0819(3,2)",4.116968736386066724912101479,1.1738261942809507,(0.414956524480373+2.64714333148767j),(0.873644914599222-1.718580602804906j),(1.125845991761199-0.065097165438348j)
"v2203(-1,2)",4.116968736386066724912101479,1.128383964966302,(1.128383964966299+0.78539816339745j),(1.128383964966302+0.785398163397448j),1.570796326794897j
"s897(-1,2)",4.116968736386066724912101479,1.2300084170042325,(0.946807968969038-2.955438637976056j),(1.092952128774578-2.039846968018474j),(0.681651538721921-0.920507191136112j)
"s417(-5,1)",4.117456661803405404757362814,1.0768572672913594,(0.364402348511356+1.259821917379913j),(0.53258203168847+1.570298816693824j),(1.399814041204735-2.836972940263229j)
"m339(-1,4)",4.117746585451235764742932838,1.1601517784020323,(0.301006637954123-1.497931248889847j),(0.627739336723657-2.085119601479045j),(1.314592203623077-1.188464796158935j)
"s384(5,2)",4.120113798901954904829655614,1.0978998685716967,(0.493808861988653+1.446147654599814j),(0.834334043350309-1.886598800812867j),(1.090703400591328-2.396617763206295j)
"m345(-1,3)",4.122344112743941396928005826,1.1496259935253503,(0.806483330293656+2.04818322974634j),(0.982110406866306+2.502319429567197j),(0.751100195194739-0.283717424461705j)
"m343(3,2)",4.122421436716151081510983228,1.1383919039401933,(0.740634739939341-1.838564861099843j),(1.069524062860277+3.063170333213823j),(0.693459519333087+1.966235760144738j)
"m345(-2,3)",4.122628424078276793324058853,1.1503939634299591,(0.831019969083594+2.036330007203159j),(0.976744543315745+2.467454072594516j),(0.744701809237476-0.263144693175009j)
"s450(-2,3)",4.123192154854537990722768591,1.0395143609433912,(0.84192539656464+1.790863051964145j),(0.913645037648148+1.865633081166979j),(0.642908027065378-2.300750068043176j)
"s448(-2,3)",4.123566346336909802670056547,1.0442830061501593,(0.798979239832967+1.6729417743138j),(0.946168259912884+1.82472060284393j),(0.667783722399491-2.215452315468749j)
"m376(-2,3)",4.123566346336909802670056547,1.1424189668414406,(0.944463511682992+2.506941405266559j),(0.962983390746326+3.12306704905863j),(0.619129801398689-1.810695256108025j)
"m360(-4,1)",4.124491343142346190989080211,1.1383593140897845,(0.377928487199618+1.578551673845509j),(0.515774474282377+1.862038800467764j),(1.316831067180698+1.274101862440455j)
"v0753(6,1)",4.124903251807676155505899849,1.0712419686191386,(0.377933762620934-0.945670694002544j),(0.377933762620963-0.945670694002531j),(1.861173379777089+1.236534627598271j)
"v0822(6,1)",4.124903251807676155505899849,1.0466452391969692,(0.377933762620931-0.94567069400255j),(0.377933762620917-0.945670694002553j),(1.819450016207925+0.578268784563817j)
"m349(-1,3)",4.128500928135602445741680535,1.1628320134767975,(0.511720497518119-2.488126895764594j),(0.671121150843428+1.803071627290686j),(1.107568263750069-2.90299036293466j)
"m350(-5,1)",4.128500928135602445741680535,1.0552165008473442,(0.34400783944364+1.183531081793019j),(0.787728159399381+2.203061504890991j),(1.183460679901638-2.627274826218436j)
"m372(5,1)",4.128791140257993912369810747,1.235508994417206,(0.38746304840458-1.036166357706928j),(0.802754937548533-2.583109901485016j),(1.475740629311954-0.4202638270465j)
"m345(6,1)",4.131005156614928045009534151,1.0513162046407734,(0.327286180405664-0.882494578873437j),(0.828335860459957+2.177407937960242j),(1.328903808243865+2.161294578242439j)
"m385(-1,3)",4.131022322273993732089767023,1.101690274089972,(0.703822352957543-2.003670771616713j),(0.9042768846903-2.977315420056258j),(0.783082069505648+2.068806007936041j)
"s385(6,1)",4.131048415742796297921130024,1.0367326269908328,(0.309575777999293-0.942319661684414j),(0.822592619870503-2.463244178574648j),(1.260311319306+2.739205140889158j)
"s385(-5,2)",4.133164071832523865410381500,1.0926773211479355,(0.486947001040405+1.433272062288385j),(0.885837271199096+1.797249691498312j),(1.05814046489646-0.151139492216453j)
"s385(-6,1)",4.133215869263873629545623831,1.04352591623835,(0.301515994582779+0.946254653585147j),(0.803804898313237-2.634963347983697j),(1.278035479231799-2.854596167544845j)
