"name","margulis upper","left geod","left power","right geod","right power","ortho"
"m118(4,1)",1.0869536816144074,0.31667-1.33864j,1,0.77371+2.7105j,1,1.15548-0.75393j
"m118(4,1)",0.9988406083360326,0.67921+2.75992j,1,0.77371+2.7105j,1,0.67958+1.46836j
"m130(4,1)",1.0684531330905611,0.52813-1.93644j,1,0.52813-1.93644j,1,1.08284-0.80292j
"m118(2,3)",1.000582251638693,0.67243+2.64448j,1,0.7739+2.66902j,1,0.69058-1.57668j
"m148(-6,1)",1.0975338714009009,0.37855+0.92424j,1,0.79671-3.12097j,1,1.3337+0.90876j
"m120(-6,1)",1.0169389110920979,0.55825+1.41424j,1,0.79737+1.78007j,1,0.9732+2.81842j
"m120(-6,1)",1.3674796060207264,0.79737+1.78007j,1,0.79737+1.78007j,1,1.30457-0.945j
"m120(-6,1)",1.0127730598341873,0.31404+1.00855j,1,0.79737+1.78007j,1,1.24744-0.39142j
"m146(5,1)",1.065658764714277,0.54603+2.42953j,1,0.66126-1.53887j,1,1.02654-0.28157j
"m137(6,1)",1.0033584095990278,0.31743-0.89147j,1,0.79938-1.53188j,1,1.33158+0.14603j
"m137(6,1)",1.3589278530836593,0.79938-1.53188j,1,0.79938-1.53188j,1,1.39242+0.61543j
"m137(6,1)",1.0326990346288212,0.31743-0.89147j,1,0.6023+2.73946j,1,1.38546-0.31964j
"m137(6,1)",1.0749943120532353,0.6023+2.73946j,1,0.79938-1.53188j,1,0.90951+2.83272j
"m148(6,1)",1.0112751307087586,0.39261-0.85208j,1,0.78521+1.43744j,1,1.35648-1.25251j
"m148(6,1)",1.2946820683543918,0.78521+1.43744j,1,0.78521+1.43744j,1,1.35648-1.25251j
"m136(6,1)",1.0952426474418087,0.30469-0.96536j,1,0.78521+1.70415j,1,1.43824-1.12485j
"m122(-4,1)",0.9862111140164656,0.75595-2.76772j,1,0.75595-2.76772j,1,0.62824+1.70678j
"m147(4,1)",1.0651392004197318,0.61795-1.76725j,1,0.73621+2.21066j,1,0.94121+3.03977j
"m154(1,4)",1.2034459336746157,0.58901-2.31818j,1,0.76554-2.66992j,1,1.02046-1.92832j
"m154(1,4)",1.1162988102523432,0.5746-2.01342j,1,0.58901-2.31818j,1,1.04708-2.62359j
"m154(1,4)",1.0247416533428655,0.5746-2.01342j,1,0.76554-2.66992j,1,0.82372+1.69648j
"m142(-5,1)",1.0935431951346906,0.4428+2.38677j,1,0.55598+1.48091j,1,1.16889+0.75704j
"m142(5,1)",1.0857489660616686,0.50048+2.41663j,1,0.65319+1.4354j,1,1.0984-2.4261j
"m188(-3,1)",0.9946314411204842,0.66577-1.50908j,1,0.71213+2.24068j,1,0.86383-1.15888j
"m154(-1,4)",1.0401468300285897,0.58714-1.93699j,1,0.68431-2.80074j,1,0.88761+1.70609j
"m154(-1,4)",1.0779242872281927,0.58714-1.93699j,1,0.68827-2.26609j,1,0.96612-2.77014j
"m147(-4,3)",1.037484387133845,0.56981-1.98217j,1,0.78616-2.48843j,1,0.84317+1.60766j
"m147(-4,3)",1.0878127171681307,0.58446+2.04173j,1,0.78616-2.48843j,1,0.90084-1.06544j
"s090(5,1)",1.012280431353345,0.39668-1.17191j,1,0.77267-1.77205j,1,1.14845-2.78021j
"s090(5,1)",1.012280431353345,0.39668-1.17191j,1,0.77267-1.77205j,1,1.14845+0.36139j
"m147(-3,4)",1.0499854191123632,0.49864-1.97319j,1,0.77001-2.41332j,1,0.9031+1.60504j
"m147(-3,4)",1.0778575944373283,0.52405+2.08272j,1,0.77001-2.41332j,1,0.91756-1.12486j
"m146(-5,1)",1.1244960508229735,0.52166+2.3175j,1,0.75284-1.58397j,1,1.06146-0.13979j
"m155(5,1)",0.9960383793366935,0.3775+1.14314j,1,0.62241-1.81006j,1,1.23333-2.18972j
"m162(-5,1)",1.0705436070263483,0.42136+2.05413j,1,0.57826-1.59877j,1,1.1436-0.82951j
"m162(6,1)",1.138725331226691,0.34413+2.05743j,1,0.61919-1.56023j,1,1.24106-0.893j
"m162(6,1)",0.9988217029979972,0.31141-1.04931j,1,0.61919-1.56023j,1,1.35768+0.19391j
"m175(-5,1)",1.1008603147929843,0.41267-2.21643j,1,0.62717-1.61031j,1,1.13802+2.53393j
"m178(1,4)",1.0890893645151072,0.51158+2.36305j,1,0.78791-2.81879j,1,0.87943+1.40822j
"m178(1,4)",1.1647540092171125,0.62257-2.22363j,1,0.78791-2.81879j,1,0.95349+1.09414j
"m175(6,1)",0.9960030183161097,0.33351-1.04839j,1,0.6592-1.55842j,1,1.31972+0.18551j
"m175(6,1)",1.1683694265240758,0.33256-2.17792j,1,0.6592-1.55842j,1,1.24431-0.72953j
"m188(4,3)",1.0217706618902267,0.59847+2.32921j,1,0.67889-1.84226j,1,0.89099+2.07505j
"m192(-5,1)",1.0115783467654753,0.40239+1.11602j,1,0.7809+1.6768j,1,1.17472-0.26789j
"m192(-5,1)",1.0849763109726074,0.33716-2.70606j,2,0.7809+1.6768j,1,1.22231-0.01619j
"m189(4,1)",1.05507904662075,0.39507-1.33295j,1,0.78753+2.98572j,1,1.07096+2.24507j
"m189(4,1)",1.1431442150002267,0.44389+2.63283j,1,0.78753+2.98572j,1,0.94284-1.34943j
"m222(5,1)",1.0081357938563462,0.44419-1.0733j,1,0.76578+2.81434j,1,1.09671-0.48339j
"m222(-5,1)",1.0100461041686866,0.45896+1.02888j,1,0.77173-2.01262j,1,1.15133-2.1774j
"m178(-1,4)",1.1867220111786465,0.46687+2.41094j,1,0.66976-2.15339j,1,1.10703+0.03568j
"m178(-1,4)",1.230738613478895,0.66976-2.15339j,1,0.75013-2.93012j,1,1.04129-2.03184j
